TJIINDEXNAME,YFSYMBOLS
TJI Bearings,NRBBEARING.NS
TJI Bearings,SCHAEFFLER.NS
TJI Bearings,SKFINDIA.NS
TJI Bearings,SNL.BO
TJI Bearings,TIMKEN.NS
TJI Cement,ABREL.NS
TJI Cement,ACC.NS
TJI Cement,AMBUJACEM.NS
TJI Cement,BIRLACORPN.NS
TJI Cement,DALBHARAT.NS
TJI Cement,DALMIASUG.NS
TJI Cement,DECCANCE.NS
TJI Cement,GRASIM.NS
TJI Cement,HEIDELBERG.NS
TJI Cement,INDIACEM.NS
TJI Cement,JKCEMENT.NS
TJI Cement,JKLAKSHMI.NS
TJI Cement,KCP.NS
TJI Cement,KESORAMIND.NS
TJI Cement,MANGLMCEM.NS
TJI Cement,NCLIND.NS
TJI Cement,NUVOCO.NS
TJI Cement,ORIENTCEM.NS
TJI Cement,PRSMJOHNSN.NS
TJI Cement,RAIN.NS
TJI Cement,RAMCOCEM.NS
TJI Cement,SAGCEM.NS
TJI Cement,SHREECEM.NS
TJI Cement,STARCEMENT.NS
TJI Cement,ULTRACEMCO.NS
TJI Chemicals,AARTIIND.NS
TJI Chemicals,AKSHARCHEM.NS
TJI Chemicals,ALKYLAMINE.NS
TJI Chemicals,AMAL.BO
TJI Chemicals,AMNPLST.NS
TJI Chemicals,ANDHRAPET.BO
TJI Chemicals,APCOTEXIND.NS
TJI Chemicals,ARROWGREEN.NS
TJI Chemicals,ASAHISONG.NS
TJI Chemicals,ASTRAL.NS
TJI Chemicals,ATUL.NS
TJI Chemicals,BALAMINES.NS
TJI Chemicals,BASF.NS
TJI Chemicals,BEPL.NS
TJI Chemicals,BHAGCHEM.NS
TJI Chemicals,BHARATRAS.NS
TJI Chemicals,BODALCHEM.NS
TJI Chemicals,BOMOXY-B1.BO
TJI Chemicals,CAMLINFINE.NS
TJI Chemicals,CAPTRUST.BO
TJI Chemicals,CHAMBLFERT.NS
TJI Chemicals,CHEMBOND.BO
TJI Chemicals,CHEMFAB.NS
TJI Chemicals,COROMANDEL.NS
TJI Chemicals,COSMOFIRST.NS
TJI Chemicals,DCW.NS
TJI Chemicals,DEEPAKFERT.NS
TJI Chemicals,DEEPAKNTR.NS
TJI Chemicals,DHANUKA.NS
TJI Chemicals,DIAMINESQ.BO
TJI Chemicals,DMCC.NS
TJI Chemicals,DYNPRO.NS
TJI Chemicals,ELGIRUBCO.NS
TJI Chemicals,EMMBI.NS
TJI Chemicals,EPL.NS
TJI Chemicals,ESTER.NS
TJI Chemicals,EXCELINDUS.NS
TJI Chemicals,FACT.NS
TJI Chemicals,FCL.NS
TJI Chemicals,FIBERWEB.BO
TJI Chemicals,FINEORG.NS
TJI Chemicals,FINPIPE.NS
TJI Chemicals,FLUOROCHEM.NS
TJI Chemicals,GANESHBE.NS
TJI Chemicals,GARFIBRES.NS
TJI Chemicals,GENPHARMA.BO
TJI Chemicals,GHCL.NS
TJI Chemicals,GNFC.NS
TJI Chemicals,GOCLCORP.NS
TJI Chemicals,GRAUWEIL.NS
TJI Chemicals,GRPLTD.NS
TJI Chemicals,GSFC.NS
TJI Chemicals,GUJALKALI.NS
TJI Chemicals,GULPOLY.NS
TJI Chemicals,HITECHCORP.NS
TJI Chemicals,HOCL.BO
TJI Chemicals,HSCL.NS
TJI Chemicals,IGL.NS
TJI Chemicals,IGPL.NS
TJI Chemicals,INDOAMIN.NS
TJI Chemicals,INDOBORAX.BO
TJI Chemicals,INDTONER.BO
TJI Chemicals,INSECTICID.NS
TJI Chemicals,INTLCONV.BO
TJI Chemicals,IOLCP.NS
TJI Chemicals,JAGSNPHARM.BO
TJI Chemicals,JINDALPOLY.NS
TJI Chemicals,JISLJALEQS.NS
TJI Chemicals,KANORICHEM.NS
TJI Chemicals,KANPRPLA.NS
TJI Chemicals,KINGFA.NS
TJI Chemicals,KIRIINDUS.NS
TJI Chemicals,KISAN.BO
TJI Chemicals,KKALPANAIND.BO
TJI Chemicals,KOTHARIPET.NS
TJI Chemicals,KRITI.BO
TJI Chemicals,LINDEINDIA.NS
TJI Chemicals,LORDSCHLO.BO
TJI Chemicals,LXCHEM.NS
TJI Chemicals,MAHEPC.NS
TJI Chemicals,MANALIPETC.NS
TJI Chemicals,MANORG.BO
TJI Chemicals,MOL.NS
TJI Chemicals,MOLDTKPAC.NS
TJI Chemicals,MRPL.NS
TJI Chemicals,MULTIBASE.BO
TJI Chemicals,NACLIND.NS
TJI Chemicals,NAPEROL.BO
TJI Chemicals,NAVINFLUOR.NS
TJI Chemicals,NEOGEN.NS
TJI Chemicals,NILKAMAL.NS
TJI Chemicals,NOCIL.NS
TJI Chemicals,OAL.NS
TJI Chemicals,ORICONENT.NS
TJI Chemicals,ORIENTLTD.NS
TJI Chemicals,OSWALGREEN.NS
TJI Chemicals,PAUSHAKLTD.NS
TJI Chemicals,PCBL.NS
TJI Chemicals,PIDILITIND.NS
TJI Chemicals,PIIND.NS
TJI Chemicals,PIXTRANS.BO
TJI Chemicals,PLASTIBLEN.NS
TJI Chemicals,POLSON.BO
TJI Chemicals,POLYPLEX.NS
TJI Chemicals,PREMEXPLN.NS
TJI Chemicals,PRIMAPLA.BO
TJI Chemicals,PRIMO.NS
TJI Chemicals,PRIVISCL.NS
TJI Chemicals,PUNJABCHEM.NS
TJI Chemicals,RAJOOENG.BO
TJI Chemicals,RAMAPHO.BO
TJI Chemicals,RCF.NS
TJI Chemicals,RDBRL.BO
TJI Chemicals,RESPONIND.NS
TJI Chemicals,RUBFILA.BO
TJI Chemicals,SADHNANIQ.BO
TJI Chemicals,SHARDACROP.NS
TJI Chemicals,SHIVALIK.BO
TJI Chemicals,SHREEPUSHK.NS
TJI Chemicals,SIGACHI.NS
TJI Chemicals,SIGIND.NS
TJI Chemicals,SIL.BO
TJI Chemicals,SOLARINDS.NS
TJI Chemicals,SPIC.NS
TJI Chemicals,SRHHYPOLTD.NS
TJI Chemicals,STYRENIX.NS
TJI Chemicals,SUDARCOLOR.NS
TJI Chemicals,SUDARSCHEM.NS
TJI Chemicals,SUPREMEIND.NS
TJI Chemicals,TANFACIND.BO
TJI Chemicals,TATACHEM.NS
TJI Chemicals,TGVSL.BO
TJI Chemicals,TIMETECHNO.NS
TJI Chemicals,TIRUMALCHM.NS
TJI Chemicals,TNPETRO.NS
TJI Chemicals,TPLPLASTEH.NS
TJI Chemicals,TRANSPEK.BO
TJI Chemicals,UFLEX.NS
TJI Chemicals,VALIANTORG.BO
TJI Chemicals,VIDHIING.BO
TJI Chemicals,VIKASECO.NS
TJI Chemicals,VINATIORGA.NS
TJI Chemicals,VINYLINDIA.NS
TJI Chemicals,VISHNU.NS
TJI Chemicals,WORTHPERI.NS
TJI Chemicals,YASHO.BO
TJI Chemicals,ZUARIIND.NS
TJI City Gas,ATGL.NS
TJI City Gas,GUJENERGY.NS
TJI City Gas,IGL.NS
TJI City Gas,MGL.NS
TJI Communication Equipment,AKSHOPTFBR.NS
TJI Communication Equipment,AVANTEL.BO
TJI Communication Equipment,BIRLACABLE.NS
TJI Communication Equipment,DLINKINDIA.NS
TJI Communication Equipment,GTLINFRA.NS
TJI Communication Equipment,HFCL.NS
TJI Communication Equipment,INDUSTOWER.NS
TJI Communication Equipment,ITI.NS
TJI Communication Equipment,NELCO.NS
TJI Communication Equipment,STLTECH.NS
TJI Communication Equipment,TATACOMM.NS
TJI Communication Equipment,TEJASNET.NS
TJI Dairy Products,DODLA.NS
TJI Dairy Products,HATSUN.NS
TJI Dairy Products,HERITGFOOD.NS
TJI Dairy Products,KMGMILK.BO
TJI Dairy Products,MLKFOOD.BO
TJI Dairy Products,PARAGMILK.NS
TJI Dairy Products,SCPL.NS
TJI Dairy Products,VADILALIND.NS
TJI Dairy Products,VADILENT.BO
TJI Defence,APOLLO.NS
TJI Defence,ASTRAMICRO.NS
TJI Defence,AVANTEL.BO
TJI Defence,BDL.NS
TJI Defence,BEL.NS
TJI Defence,BEML.NS
TJI Defence,BHARATFORG.NS
TJI Defence,COCHINSHIP.NS
TJI Defence,DATAPATTNS.NS
TJI Defence,DYNAMATECH.NS
TJI Defence,GRSE.NS
TJI Defence,HAL.NS
TJI Defence,MAZDOCK.NS
TJI Defence,MIDHANI.NS
TJI Defence,MTARTECH.NS
TJI Defence,PARAS.NS
TJI Defence,SOLARINDS.NS
TJI Defence,ZENTEC.NS
TJI Diagnostic Chains,APOLLOHOSP.NS
TJI Diagnostic Chains,FORTIS.NS
TJI Diagnostic Chains,KRSNAA.NS
TJI Diagnostic Chains,LALPATHLAB.NS
TJI Diagnostic Chains,METROPOLIS.NS
TJI Diagnostic Chains,SURAKSHA.NS
TJI Diagnostic Chains,THYROCARE.NS
TJI Diagnostic Chains,VIJAYA.NS
TJI Dyes & Pigments,AKSHARCHEM.NS
TJI Dyes & Pigments,ASAHISONG.NS
TJI Dyes & Pigments,BHAGCHEM.NS
TJI Dyes & Pigments,CAMEXLTD.BO
TJI Dyes & Pigments,DYNAMIND.BO
TJI Dyes & Pigments,DYNPRO.NS
TJI Dyes & Pigments,GENPHARMA.BO
TJI Dyes & Pigments,INDTONER.BO
TJI Dyes & Pigments,ISHANCH.NS
TJI Dyes & Pigments,KIRIINDUS.NS
TJI Dyes & Pigments,PODDARMENT.NS
TJI Dyes & Pigments,SHREEPUSHK.NS
TJI Dyes & Pigments,SUDARSCHEM.NS
TJI Dyes & Pigments,VIDHIING.BO
TJI Dyes & Pigments,VIPULORG.BO
TJI Electrical Appliances,AMBER.NS
TJI Electrical Appliances,BAJAJELEC.NS
TJI Electrical Appliances,BLUESTARCO.NS
TJI Electrical Appliances,BOSCHLTD.NS
TJI Electrical Appliances,CROMPTON.NS
TJI Electrical Appliances,DIXON.NS
TJI Electrical Appliances,FINCABLES.NS
TJI Electrical Appliances,FORBESCO.BO
TJI Electrical Appliances,HAVELLS.NS
TJI Electrical Appliances,IFBIND.NS
TJI Electrical Appliances,ONIDA.NS
TJI Electrical Appliances,ORIENTELEC.NS
TJI Electrical Appliances,SYMPHONY.NS
TJI Electrical Appliances,VGUARD.NS
TJI Electrical Appliances,VOLTAS.NS
TJI Electrical Appliances,WHIRLPOOL.NS
TJI EMS,AMBER.NS
TJI EMS,AVALON.NS
TJI EMS,CENTUM.NS
TJI EMS,CYIENTDLM.NS
TJI EMS,DIXON.NS
TJI EMS,ELIN.NS
TJI EMS,EPACK.NS
TJI EMS,KAYNES.NS
TJI EMS,PGEL.NS
TJI EMS,SYRMA.NS
TJI EMS,VOEPL.NS
TJI Fertilizer,COROMANDEL.NS
TJI Fertilizer,FACT.NS
TJI Fertilizer,GNFC.NS
TJI Fertilizer,GSFC.NS
TJI Fertilizer,KSCL.NS
TJI Fertilizer,MRPL.NS
TJI Fertilizer,NFL.NS
TJI Fertilizer,RCF.NS
TJI Fertilizer,SHREEPUSHK.NS
TJI Fertilizer,SPIC.NS
TJI Fertilizer,ZUARI.NS
TJI FMCG,ADFFOODS.NS
TJI FMCG,BAJAJCON.NS
TJI FMCG,BBTC.NS
TJI FMCG,BRITANNIA.NS
TJI FMCG,COLPAL.NS
TJI FMCG,DABUR.NS
TJI FMCG,DIAMONDYD.NS
TJI FMCG,DODLA.NS
TJI FMCG,EMAMILTD.NS
TJI FMCG,FCONSUMER.NS
TJI FMCG,GODREJCP.NS
TJI FMCG,GODREJIND.NS
TJI FMCG,GOODRICKE.BO
TJI FMCG,HATSUN.NS
TJI FMCG,HINDUNILVR.NS
TJI FMCG,ITC.NS
TJI FMCG,JYOTHYLAB.NS
TJI FMCG,KRBL.NS
TJI FMCG,LTFOODS.NS
TJI FMCG,MARICO.NS
TJI FMCG,NESTLEIND.NS
TJI FMCG,PARAGMILK.NS
TJI FMCG,RELAXO.NS
TJI FMCG,SHK.NS
TJI FMCG,TATACONSUM.NS
TJI FMCG,ZYDUSWELL.NS
TJI General Insurance,ABCAPITAL.NS
TJI General Insurance,BAJAJFINSV.NS
TJI General Insurance,GICRE.NS
TJI General Insurance,GODIGIT.NS
TJI General Insurance,ICICIGI.NS
TJI General Insurance,NIACL.NS
TJI General Insurance,NIVABUPA.NS
TJI General Insurance,RELIGARE.NS
TJI General Insurance,STARHEALTH.NS
TJI Glass Products,ASAHIINDIA.NS
TJI Glass Products,BIL.BO
TJI Glass Products,BORORENEW.NS
TJI Glass Products,EMPIND.BO
TJI Glass Products,GMMPFAUDLR.NS
TJI Glass Products,HALDYNGL.NS
TJI Glass Products,LAOPALA.NS
TJI Glass Products,SEKURITIND.BO
TJI Glass Products,TRIVENIGQ.BO
TJI Holding Companies,BAJAJHLDNG.NS
TJI Holding Companies,BBTC.NS
TJI Holding Companies,BENGALASM.BO
TJI Holding Companies,BLIL.BO
TJI Holding Companies,EQUITASBNK.NS
TJI Holding Companies,JSWHL.NS
TJI Holding Companies,KAMAHOLD.NS
TJI Holding Companies,KICL.NS
TJI Holding Companies,MAHSCOOTER.NS
TJI Holding Companies,PILANIINVS.NS
TJI Holding Companies,RANEHOLDIN.NS
TJI Holding Companies,TAINWALCHM.NS
TJI Holding Companies,TATAINVEST.NS
TJI Holding Companies,TSFINV.NS
TJI Holding Companies,UJJIVANSFB.NS
TJI Home Finance,AADHARHFC.NS
TJI Home Finance,AAVAS.NS
TJI Home Finance,APTUS.NS
TJI Home Finance,CANFINHOME.NS
TJI Home Finance,GICHSGFIN.NS
TJI Home Finance,HOMEFIRST.NS
TJI Home Finance,HUDCO.NS
TJI Home Finance,INDIASHLTR.NS
TJI Home Finance,LICHSGFIN.NS
TJI Home Finance,PNBHOUSING.NS
TJI Home Finance,REPCOHOME.NS
TJI Home Finance,SAMMAANCAP.NS
TJI Home Finance,SRGHFL.NS
TJI Home Finance,STARTECK.BO
TJI Hospitality,DELTACORP.NS
TJI Hospitality,EIHAHOTELS.NS
TJI Hospitality,EIHOTEL.NS
TJI Hospitality,HLVLTD.NS
TJI Hospitality,INDHOTEL.NS
TJI Hospitality,JUNIPER.NS
TJI Hospitality,KAMATHOTEL.NS
TJI Hospitality,LEMONTREE.NS
TJI Hospitality,MHRIL.NS
TJI Hospitality,ORIENTHOT.NS
TJI Hospitality,PARKHOTELS.BO
TJI Hospitality,PRAVEG.BO
TJI Hospitality,SAMHI.NS
TJI Hospitality,SAYAJIHOTL.BO
TJI Hospitality,TAJGVK.NS
TJI Hospitals,AASHKA.BO
TJI Hospitals,APOLLOHOSP.NS
TJI Hospitals,ARTEMISMED.NS
TJI Hospitals,ASTERDM.NS
TJI Hospitals,DRAGARWQ.NS
TJI Hospitals,FORTIS.NS
TJI Hospitals,GPTHEALTH.NS
TJI Hospitals,HCG.NS
TJI Hospitals,INDRAMEDCO.NS
TJI Hospitals,JLHL.NS
TJI Hospitals,KIMS.NS
TJI Hospitals,KOVAI.BO
TJI Hospitals,MAITREYA-SM.NS
TJI Hospitals,MAXHEALTH.NS
TJI Hospitals,MEDANTA.NS
TJI Hospitals,NH.NS
TJI Hospitals,RAINBOW.NS
TJI Hospitals,SHALBY.NS
TJI Hospitals,YATHARTH.NS
TJI Infrastructure,A2ZINFRA.NS
TJI Infrastructure,AFCONS.NS
TJI Infrastructure,AGARIND.NS
TJI Infrastructure,AHLUCONT.NS
TJI Infrastructure,APEX.BO
TJI Infrastructure,ASHOKA.NS
TJI Infrastructure,ATLANTAA.NS
TJI Infrastructure,AVPINFRA-SM.NS
TJI Infrastructure,BAJEL.NS
TJI Infrastructure,BGRENERGY.NS
TJI Infrastructure,BRNL.NS
TJI Infrastructure,CEIGALL.NS
TJI Infrastructure,CEMPRO.NS
TJI Infrastructure,COROENGG.BO
TJI Infrastructure,DBL.NS
TJI Infrastructure,EFFWA-SM.NS
TJI Infrastructure,EIEL.NS
TJI Infrastructure,ENGINERSIN.NS
TJI Infrastructure,GANESHIN-SM.NS
TJI Infrastructure,GAYAPROJ.NS
TJI Infrastructure,GENCON.BO
TJI Infrastructure,GENSOL.NS
TJI Infrastructure,GPTINFRA.NS
TJI Infrastructure,GRINFRA.NS
TJI Infrastructure,GVPIL.NS
TJI Infrastructure,HGINFRA.NS
TJI Infrastructure,IL&FSENGG.BO
TJI Infrastructure,IRB.NS
TJI Infrastructure,ISGEC.NS
TJI Infrastructure,JKIL.NS
TJI Infrastructure,JYOTISTRUC.NS
TJI Infrastructure,K2INFRA-SM.NS
TJI Infrastructure,KCEIL-SM.NS
TJI Infrastructure,KEC.NS
TJI Infrastructure,KNRCON.NS
TJI Infrastructure,KPEL.NS
TJI Infrastructure,KPIGREEN.NS
TJI Infrastructure,KPIL.NS
TJI Infrastructure,LAKSHYA-SM.NS
TJI Infrastructure,LT.NS
TJI Infrastructure,MADHAV.BO
TJI Infrastructure,MANINFRA.NS
TJI Infrastructure,MARKOLINES.BO
TJI Infrastructure,MBLINFRA.NS
TJI Infrastructure,NCC.NS
TJI Infrastructure,ORIANA-SM.NS
TJI Infrastructure,PATELENG.NS
TJI Infrastructure,PNCINFRA.NS
TJI Infrastructure,POWERMECH.NS
TJI Infrastructure,RAJESH.BO
TJI Infrastructure,RAMKY.NS
TJI Infrastructure,RBMINFRA-SM.NS
TJI Infrastructure,REFEX.NS
TJI Infrastructure,RIIL.NS
TJI Infrastructure,RKEC.NS
TJI Infrastructure,RPPINFRA.NS
TJI Infrastructure,RVNL.NS
TJI Infrastructure,SADBHAV.NS
TJI Infrastructure,SADBHIN.NS
TJI Infrastructure,SEPC.NS
TJI Infrastructure,SIMPLEXINF.NS
TJI Infrastructure,SONUINFRA-SM.NS
TJI Infrastructure,SPMLINFRA.NS
TJI Infrastructure,SRM.NS
TJI Infrastructure,SWSOLAR.NS
TJI Infrastructure,TECHNOE.NS
TJI Infrastructure,TRANSRAILL.NS
TJI Infrastructure,VASCONEQ.NS
TJI Infrastructure,VIVIANA-SM.NS
TJI Infrastructure,VPRPL.NS
TJI Innerwear Manufacturers,DOLLAR.NS
TJI Innerwear Manufacturers,LOVABLE.NS
TJI Innerwear Manufacturers,LUXIND.NS
TJI Innerwear Manufacturers,PAGEIND.NS
TJI Innerwear Manufacturers,RUPA.NS
TJI Insurance,ABCAPITAL.NS
TJI Insurance,BAJAJFINSV.NS
TJI Insurance,HDFCLIFE.NS
TJI Insurance,ICICIPRULI.NS
TJI Insurance,LICI.NS
TJI Insurance,MFSL.NS
TJI Insurance,SBILIFE.NS
TJI IT - Product/Platform,AFFLE.NS
TJI IT - Product/Platform,AGSTRA.NS
TJI IT - Product/Platform,CARTRADE.NS
TJI IT - Product/Platform,CCAVENUE.NS
TJI IT - Product/Platform,DATAPATTNS.NS
TJI IT - Product/Platform,EASEMYTRIP.NS
TJI IT - Product/Platform,ETERNAL.BO
TJI IT - Product/Platform,INDIAMART.NS
TJI IT - Product/Platform,IRCTC.NS
TJI IT - Product/Platform,JUSTDIAL.NS
TJI IT - Product/Platform,LATENTVIEW.NS
TJI IT - Product/Platform,MAPMYINDIA.NS
TJI IT - Product/Platform,MATRIMONY.NS
TJI IT - Product/Platform,MEDPLUS.NS
TJI IT - Product/Platform,NAUKRI.NS
TJI IT - Product/Platform,NAZARA.NS
TJI IT - Product/Platform,NYKAA.NS
TJI IT - Product/Platform,PAYTM.NS
TJI IT - Product/Platform,POLICYBZR.NS
TJI IT - Product/Platform,ROUTE.NS
TJI IT Large Cap,HCLTECH.NS
TJI IT Large Cap,INFY.NS
TJI IT Large Cap,NAUKRI.NS
TJI IT Large Cap,TCS.NS
TJI IT Large Cap,TECHM.NS
TJI IT Large Cap,WIPRO.NS
TJI IT Mid Cap,CCAVENUE.NS
TJI IT Mid Cap,COFORGE.NS
TJI IT Mid Cap,INDIAMART.NS
TJI IT Mid Cap,LTIM.NS
TJI IT Mid Cap,MPHASIS.NS
TJI IT Mid Cap,OFSS.NS
TJI IT Mid Cap,PERSISTENT.NS
TJI IT Mid Cap,QUESS.NS
TJI IT Mid Cap,TATAELXSI.NS
TJI IT Mid Cap,TEAMLEASE.NS
TJI IT Small Cap,63MOONS.NS
TJI IT Small Cap,ACCELYA.NS
TJI IT Small Cap,AURUM.NS
TJI IT Small Cap,AXISCADES.NS
TJI IT Small Cap,BSOFT.NS
TJI IT Small Cap,CYIENT.NS
TJI IT Small Cap,DATAMATICS.NS
TJI IT Small Cap,ECLERX.NS
TJI IT Small Cap,EXPLEOSOL.NS
TJI IT Small Cap,FSL.NS
TJI IT Small Cap,HAPPSTMNDS.NS
TJI IT Small Cap,HCL-INSYS.NS
TJI IT Small Cap,HGS.NS
TJI IT Small Cap,INTELLECT.NS
TJI IT Small Cap,JUSTDIAL.NS
TJI IT Small Cap,KPITTECH.NS
TJI IT Small Cap,MASTEK.NS
TJI IT Small Cap,MATRIMONY.NS
TJI IT Small Cap,NEWGEN.NS
TJI IT Small Cap,NIITLTD.NS
TJI IT Small Cap,NUCLEUS.NS
TJI IT Small Cap,ONMOBILE.NS
TJI IT Small Cap,PFOCUS.NS
TJI IT Small Cap,QUICKHEAL.NS
TJI IT Small Cap,RAMCOSYS.NS
TJI IT Small Cap,SAKSOFT.NS
TJI IT Small Cap,SASKEN.NS
TJI IT Small Cap,SONATSOFTW.NS
TJI IT Small Cap,TAKE.NS
TJI IT Small Cap,VAKRANGEE.NS
TJI IT Small Cap,ZENTEC.NS
TJI IT/ITeS,3IINFOLTD.NS
TJI IT/ITeS,ACCELYA.NS
TJI IT/ITeS,AURUM.NS
TJI IT/ITeS,BSOFT.NS
TJI IT/ITeS,CYIENT.NS
TJI IT/ITeS,ECLERX.NS
TJI IT/ITeS,HCLTECH.NS
TJI IT/ITeS,INFY.NS
